axe,modalite,poste,pm
quintile_revenu,QU1,CP04542,1.4023291979660444
quintile_revenu,QU1,CP04543,0.3479463423524772
quintile_revenu,QU1,CP04549,0.0
quintile_revenu,QU1,CP04550,2.098221882670998
quintile_revenu,QU1,CP05111,5.481846356994938
quintile_revenu,QU1,CP05112,0.1291745827863314
quintile_revenu,QU1,CP05113,0.12513787707425852
quintile_revenu,QU1,CP05114,0.2222706658050225
quintile_revenu,QU1,CP05120,0.920885313481845
quintile_revenu,QU1,CP05211,0.38504073472689193
quintile_revenu,QU1,CP05212,0.6700708890052404
quintile_revenu,QU1,CP05213,0.56505977953427
quintile_revenu,QU1,CP05219,0.3950417927717462
quintile_revenu,QU1,CP05220,0.0
quintile_revenu,QU1,CP05311,2.4221868305794163
quintile_revenu,QU1,CP05312,0.6763624324052306
quintile_revenu,QU1,CP05313,0.4509082882701537
quintile_revenu,QU1,CP05314,0.27170114806022083
quintile_revenu,QU1,CP05319,0.0
quintile_revenu,QU1,CP05321,0.6222297473598383
quintile_revenu,QU1,CP05322,0.08947094406481336
quintile_revenu,QU1,CP05329,0.16764538922864688
quintile_revenu,QU1,CP05330,0.5434022961204417
quintile_revenu,QU1,CP05401,0.47527503280759614
quintile_revenu,QU1,CP05402,0.4705693394134614
quintile_revenu,QU1,CP05403,0.8634947378237018
quintile_revenu,QU1,CP05404,0.0
quintile_revenu,QU1,CP05510,0.8763706432907045
quintile_revenu,QU1,CP05521,0.5337294895229103
quintile_revenu,QU1,CP05522,0.8697813903336316
quintile_revenu,QU1,CP05530,1.13335150861655
quintile_revenu,QU1,CP05611,6.836628862085295
quintile_revenu,QU1,CP05619,3.6033771943436674
quintile_revenu,QU1,CP05621,1.9852279817307574
quintile_revenu,QU1,CP05629,0.3474148968028825
quintile_revenu,QU1,CP06111,8.275424760412555
quintile_revenu,QU1,CP06112,0.0
quintile_revenu,QU1,CP06121,0.06883440188882903
quintile_revenu,QU1,CP06122,0.031063016509258554
quintile_revenu,QU1,CP06123,0.3479057849036959
quintile_revenu,QU1,CP06131,2.2316588732143834
quintile_revenu,QU1,CP06132,0.49700826414813687
quintile_revenu,QU1,CP06140,0.0
quintile_revenu,QU1,CP06211,0.0
quintile_revenu,QU1,CP06219,0.4495768134142662
quintile_revenu,QU1,CP06221,0.31590719403542405
quintile_revenu,QU1,CP06229,2.696846336506605
quintile_revenu,QU1,CP06231,3.428279810053993
quintile_revenu,QU1,CP06232,0.0
quintile_revenu,QU1,CP06320,0.09050358664841986
quintile_revenu,QU1,CP06410,0.4783958399151807
quintile_revenu,QU1,CP06420,0.11652301841058219
quintile_revenu,QU1,CP07111,19.63396119936186
quintile_revenu,QU1,CP07112,10.544303922421207
quintile_revenu,QU1,CP07120,1.2134617094423261
quintile_revenu,QU1,CP07130,0.8516843053849866
quintile_revenu,QU1,CP07140,0.0
quintile_revenu,QU1,CP07211,0.26483518357939234
quintile_revenu,QU1,CP07212,1.245706233873438
quintile_revenu,QU1,CP07213,1.9055597147084518
quintile_revenu,QU1,CP07221,11.535043551457976
quintile_revenu,QU1,CP07222,7.9401511521303005
quintile_revenu,QU1,CP07223,0.04904355251470228
quintile_revenu,QU1,CP07224,0.6620879589484808
quintile_revenu,QU1,CP07230,17.832235694345744
quintile_revenu,QU1,CP07241,1.7949940220381033
quintile_revenu,QU1,CP07242,3.0259871901571302
quintile_revenu,QU1,CP07243,2.6483518357939233
quintile_revenu,QU1,CP07244,0.7601750639778854
quintile_revenu,QU1,CP07311,4.582879523589024
quintile_revenu,QU1,CP07312,0.5028237721806139
quintile_revenu,QU1,CP07321,4.640345097552523
quintile_revenu,QU1,CP07322,1.3504409881422204
quintile_revenu,QU1,CP07323,0.0
quintile_revenu,QU1,CP07329,0.0
quintile_revenu,QU1,CP07331,2.277073368303637
quintile_revenu,QU1,CP07332,6.464877070893609
quintile_revenu,QU1,CP07340,0.2873278698174937
quintile_revenu,QU1,CP07350,1.4941049230509673
quintile_revenu,QU1,CP07360,0.0
quintile_revenu,QU1,CP07411,0.7444736647784244
quintile_revenu,QU1,CP07412,0.26313293324065
quintile_revenu,QU1,CP07491,0.5028237721806139
quintile_revenu,QU1,CP07492,0.0
quintile_revenu,QU1,CP08110,0.1496230744547693
quintile_revenu,QU1,CP08120,2.24434611682154
quintile_revenu,QU1,CP08131,2.3842627620159216
quintile_revenu,QU1,CP08132,1.2176869898897196
quintile_revenu,QU1,CP08140,1.9313382946795636
quintile_revenu,QU1,CP08150,0.3760127653358443
quintile_revenu,QU1,CP08191,0.0
quintile_revenu,QU1,CP08192,0.08545744666723736
quintile_revenu,QU1,CP08200,0.0
quintile_revenu,QU1,CP08310,2.1996370486672925
quintile_revenu,QU1,CP08320,15.972527850126545
quintile_revenu,QU1,CP08330,3.4191092541298005
quintile_revenu,QU1,CP08340,9.402370129597445
quintile_revenu,QU1,CP08350,2.8446881517483362
quintile_revenu,QU1,CP08391,0.0
quintile_revenu,QU1,CP08392,4.301267578856633
quintile_revenu,QU1,CP08399,0.0
quintile_revenu,QU1,CP09111,0.39310425466929183
quintile_revenu,QU1,CP09112,0.07691170200051359
quintile_revenu,QU1,CP09113,0.0
quintile_revenu,QU1,CP09121,0.28442698165844127
quintile_revenu,QU1,CP09122,0.0
quintile_revenu,QU1,CP09123,0.2581143533992903
quintile_revenu,QU1,CP09124,0.0
quintile_revenu,QU1,CP09129,0.08144384937356249
quintile_revenu,QU1,CP09211,1.5994889581672165
quintile_revenu,QU1,CP09212,3.351692942491102
quintile_revenu,QU1,CP09213,0.0
quintile_revenu,QU1,CP09221,2.450334323921215
quintile_revenu,QU1,CP09222,1.261908374031422
quintile_revenu,QU1,CP09311,1.4869620967886186
quintile_revenu,QU1,CP09312,3.239166081112504
quintile_revenu,QU1,CP09321,0.2652418875352671
quintile_revenu,QU1,CP09322,3.2311284481568885
quintile_revenu,QU1,CP09410,0.0
quintile_revenu,QU1,CP09421,0.0
quintile_revenu,QU1,CP09422,0.6817889404788041
quintile_revenu,QU1,CP09431,0.0
